,spkr,dys,word
0,fridriksson07a-193,=,i
0,fridriksson07a-193,=,was
0,fridriksson07a-193,S,thinking
0,kansas11a-262,=,but
0,kansas11a-262,=,i
0,kansas11a-262,S,couldnt
0,kurland02c-43,S,yeah
0,kurland12a-282,=,i
0,kurland12a-282,=,ask
0,kurland12a-282,S,mom
0,kurland12a-290,=,oh
0,kurland12a-290,=,alright
0,kurland12b-174,=,and
0,kurland12b-174,S,boom
0,kurland19e-71,=,the
0,kurland19e-71,S,girls
0,kurland21e-19,=,oh
0,kurland21e-19,S,wow
0,kurland21e-121,=,i
0,kurland21e-121,=,have
0,kurland21e-121,S,it
0,kurland29a-195,=,no
0,kurland29a-195,D,um
0,MSU03b-115,S,polish
0,scale12b-237,=,theyre
0,scale12b-237,S,there
0,scale16a-335,S,get
0,scale16a-335,=,out
0,scale16a-335,=,of
0,scale16a-335,=,here
0,scale22a-299,=,i
0,scale22a-299,=,think
0,scale22a-299,=,so
0,scale24a-45,=,and
0,scale24a-45,=,i
0,scale24a-45,S,couldnt
0,tap18a-365,=,no
0,tap18a-365,=,i
0,tap18a-365,=,dont
0,tap18a-365,=,need
0,tap18a-365,=,it
0,tap18a-381,=,you
0,tap18a-381,=,said
0,tap18a-381,=,it
0,tcu01a-81,=,and
0,tcu01a-81,=,thats
0,tcu01a-81,S,in
0,tcu01a-93,=,i
0,tcu01a-93,=,cant
0,tcu01a-93,=,talk
0,tcu01a-123,S,what
0,tcu01a-123,D,whats
0,tcu01a-123,=,going
0,tcu01a-123,=,on
0,thompson03a-122,=,i
0,thompson03a-122,=,think
0,thompson03a-122,S,so
0,tucson09a-77,=,soccer
0,UNH05a-244,S,okay
0,UNH05a-370,S,yes
0,whiteside04a-147,=,right
0,whiteside04a-147,S,then
0,whiteside14a-415,=,they
0,whiteside14a-415,=,were
0,whiteside14a-415,=,just
0,williamson05a-147,=,went
0,williamson05a-147,=,out
0,williamson05a-147,=,the
0,williamson05a-147,=,door
0,williamson05a-275,S,do
0,williamson05a-275,=,you
0,williamson05a-275,=,know
0,williamson05a-275,=,where
0,williamson05a-275,=,its
0,williamson05a-275,S,at
0,williamson06a-251,S,mhm
0,williamson09b-363,=,they
0,williamson09b-363,=,want
0,williamson09b-363,=,this
0,williamson09b-363,S,woman
0,ACWT02a-79,=,i
0,ACWT02a-79,=,dont
0,ACWT02a-79,=,know
0,BU01a-67,=,i
0,BU01a-67,=,didnt
0,BU01a-67,S,know
0,fridriksson03a-41,=,oh
0,fridriksson03a-41,=,my
0,fridriksson03a-41,S,saying
0,fridriksson03a-522,=,and
0,fridriksson03a-522,S,then
0,fridriksson12a-13,=,oh
0,fridriksson12a-13,=,i
0,fridriksson12a-13,S,cant
0,fridriksson12a-13,=,get
0,fridriksson12a-13,S,that
0,fridriksson12a-186,=,and
0,fridriksson12a-186,=,its
0,fridriksson12a-186,S,all
0,fridriksson12a-186,I,<eps>
0,fridriksson12a-186,=,were
0,fridriksson12a-186,=,in
0,fridriksson12a-186,S,this
0,fridriksson12a-433,S,uhoh
0,fridriksson12a-433,I,<eps>
0,fridriksson12a-433,=,i
0,fridriksson12a-433,=,cant
0,fridriksson12a-433,=,move
0,kansas14a-306,=,no
0,kansas14a-306,=,probably
0,kansas14a-306,S,not
0,kurland02c-93,=,yeah
0,kurland02c-93,=,yeah
0,kurland02c-93,S,yeah
0,kurland12a-360,=,and
0,kurland12a-360,=,so
0,kurland12a-360,S,im
0,kurland12a-360,=,thinking
0,kurland27a-249,=,thank
0,kurland27a-249,=,god
0,MSU08b-93,=,ill
0,MSU08b-93,=,sorry
0,scale12b-148,=,oh
0,scale12b-148,=,my
0,scale12b-148,=,god
0,scale12d-148,=,umbrella
0,scale16a-309,=,and
0,scale16a-309,=,i
0,scale16a-309,=,said
0,scale16a-313,=,dont
0,scale16a-313,=,call
0,scale19a-80,S,wow
0,scale22a-107,=,so
