,spkr,dys,word
0,adler04a-3,=,oh
0,adler04a-92,=,yes
0,adler04a-217,=,thats
0,adler04a-217,=,all
0,adler13a-9,=,good
0,adler13a-29,=,no
0,adler13a-65,S,what
0,adler13a-433,=,okay
0,adler17a-747,=,okay
0,adler23a-217,=,who
0,adler23a-217,=,knows
0,adler23a-361,=,shes
0,adler23a-361,S,trying
0,adler23a-361,D,to
0,adler23a-361,D,be
0,adler23a-547,S,thats
0,adler23a-547,S,really
0,BU08a-17,=,no
0,BU08a-337,S,its
0,BU08a-337,S,here
0,cmu02a-274,S,rain
0,elman01a-458,S,its
0,elman01a-458,D,a
0,elman01a-458,D,comb
0,fridriksson01a-101,S,almost
0,fridriksson01a-137,S,and
0,fridriksson01a-137,S,said
0,fridriksson10b-107,S,that
0,fridriksson10b-107,D,it
0,kurland02a-53,S,uh
0,kurland02a-61,=,yes
0,kurland02a-172,S,cat
0,kurland12a-332,S,so
0,kurland12a-332,D,i
0,kurland12a-332,D,said
0,kurland17a-9,=,from
0,kurland17a-9,=,there
0,kurland18c-55,S,not
0,kurland18c-55,S,like
0,kurland21a-85,S,raining
0,kurland21e-9,=,yes
0,kurland21e-17,=,yes
0,kurland27c-31,=,yeah
0,MSU07b-85,S,you
0,MSU07b-85,D,know
0,MSU08b-5,=,i
0,MSU08b-5,=,hope
0,scale09a-257,=,nothing
0,scale12d-156,=,and
0,scale12d-156,S,she
0,scale12d-156,D,was
0,scale38a-220,S,yes
0,tap01a-63,S,thank
0,tap01a-63,D,you
0,tap10a-11,S,firstnamem
0,tap14a-281,S,well
0,tap14a-290,S,thats
0,tap14a-290,D,go
0,thompson07c-7,=,yeah
0,tucson02a-129,S,umbrella
0,tucson07a-6,=,okay
0,tucson20a-85,=,no
0,tucson20a-268,S,um
0,tucson20a-268,D,uh
0,MMA17a-11,S,alright
0,UNH10a-3,S,mhm
0,whiteside04a-163,S,okay
0,whiteside04a-163,D,i
0,whiteside04a-163,D,think
0,whiteside14a-336,=,i
0,whiteside14a-336,S,dont
0,whiteside14a-336,=,know
0,whiteside19a-386,S,how
0,whiteside19a-386,S,did
0,whiteside19a-386,S,this
0,whiteside19a-386,D,happen
0,williamson09b-189,=,his
0,williamson09b-189,=,mother
0,williamson09b-189,D,says
0,williamson19a-60,S,mhm
0,williamson19a-90,=,okay
0,wozniak01a-61,=,and
0,wozniak01a-61,D,she
0,wozniak01a-61,D,said
0,wright206a-215,S,umbrella
0,wright206a-437,S,sipper
0,wright206a-498,S,oh
0,adler04a-111,=,okay
0,adler08a-143,S,and
0,adler08a-143,=,thats
0,adler08a-143,S,it
0,adler13a-639,S,i
0,adler13a-639,D,ah
0,adler23a-611,=,i
0,adler23a-611,S,can
0,adler23a-611,S,tell
0,BU08a-21,S,no
0,BU08a-137,S,alright
0,cmu02a-1,S,mhm
0,cmu02a-421,S,again
0,elman05a-239,S,shivering
0,kansas10a-65,=,pardon
0,kansas10a-65,=,me
0,kansas20a-227,S,but
0,kansas20a-227,D,anyway
0,kurland01f-582,=,this
0,kurland01f-582,S,one
0,kurland02c-71,=,yes
0,kurland03a-39,S,it
0,kurland03a-39,D,was
0,kurland03a-39,D,terrible
0,kurland03b-72,S,and
0,kurland03b-72,S,i
0,kurland03b-72,D,thought
0,kurland13d-121,D,uh
0,kurland13d-121,D,uh
0,kurland13d-121,=,i
0,kurland13d-121,=,know
0,kurland16a-7,=,im
0,kurland16a-7,=,ready
0,kurland16a-255,S,cinderella
0,kurland18c-79,S,i
0,kurland18c-79,S,i
0,kurland18c-79,D,guess
0,kurland18c-254,S,and
0,kurland18c-254,S,eat
0,kurland18c-254,D,it
0,kurland21e-61,=,yes
0,kurland21e-204,=,okay
0,kurland23e-115,=,i
0,kurland23e-115,S,cant
0,kurland23e-115,D,say
0,kurland28d-37,=,i
0,kurland28d-37,S,go
0,kurland28d-37,D,quick
0,MSU07b-115,S,yeah
0,MSU07b-135,S,yeah
0,MSU07b-319,S,yeah
0,scale09a-197,=,here
0,scale14c-118,S,okay
0,scale17a-151,S,i
0,scale17a-349,=,okay
0,scale23a-40,=,i
0,scale23a-40,=,dont
0,scale23a-40,=,know
0,scale38a-196,S,yeah
0,tcu03a-69,S,dairy
0,tcu03a-194,S,stroke
0,tcu03a-359,=,okay
0,thompson07c-1,=,okay
0,thompson07c-303,D,im
0,thompson07c-303,=,i
0,tucson07a-134,=,okay
0,tucson20a-260,D,yeah
0,tucson20a-260,=,yes
0,tucson20a-296,=,yes
0,williamson05a-151,S,so
0,williamson05a-151,S,i
0,williamson05a-151,D,said
0,williamson05a-209,=,that
0,williamson05a-209,=,was
0,williamson05a-209,S,it
0,williamson06a-356,S,okay
0,williamson09a-149,S,they
0,williamson09a-149,S,they
0,williamson09a-149,D,thought
0,williamson19a-246,=,okay
0,wright206a-390,=,i
0,wright206a-390,S,love
0,wright206a-390,S,you
0,adler13a-17,=,i
0,adler13a-17,=,dont
0,adler13a-17,=,know
0,adler13a-141,=,yes
0,adler13a-202,=,i
0,adler13a-202,=,know
0,adler13a-276,=,okay
0,adler13a-361,S,there
0,adler13a-447,=,i
0,adler13a-447,D,dont
0,adler13a-447,=,know
0,adler13a-468,=,what
0,adler17a-413,=,okay
0,adler17a-433,S,i
0,adler17a-433,D,dont
0,adler17a-433,D,know
0,adler23a-297,S,thank
0,adler23a-297,D,you
0,adler23a-433,D,hm
0,adler23a-433,=,okay
0,elman01a-175,=,we
0,elman01a-175,=,dont
0,elman01a-175,=,know
0,elman01a-498,S,just
0,elman01a-498,D,once
0,elman04a-79,S,go
0,elman04a-79,S,figure
0,fridriksson01a-259,=,you
0,fridriksson01a-259,=,know
0,fridriksson10b-152,S,policeman
0,kansas06a-13,=,um
0,kansas10a-237,S,and
0,kansas10a-237,S,she
0,kansas10a-237,D,says
0,kansas10a-348,S,peanut
0,kansas10a-348,D,butter
0,kurland01f-82,=,okay
0,kurland12a-538,S,please
0,kurland12a-538,D,please
0,kurland17a-33,S,bay
0,kurland17a-33,D,state
0,kurland17a-47,S,whats
0,kurland17a-47,S,the
0,kurland17a-47,D,other
0,kurland17a-47,D,one
0,kurland23e-1,S,uh
0,kurland23e-1,=,sure
0,kurland28d-21,S,and
0,kurland28d-21,D,this
0,kurland28d-21,D,is
0,kurland28d-85,S,okay
0,MSU07b-57,S,yeah
0,scale07a-63,=,yes
0,scale07a-115,S,better
0,scale07a-221,S,one
0,scale07a-221,D,two
0,scale07a-221,D,three
0,scale07a-359,=,uh
0,scale09a-149,=,um
0,scale11a-81,=,then
0,scale11a-81,D,i
0,scale11a-398,S,and
0,scale23a-80,S,mhm
0,scale28a-75,S,okay
0,scale28a-79,S,uhhuh
0,tap10a-314,S,well
0,tap10a-314,S,im
0,tap10a-314,S,not
0,tap10a-314,D,sure
0,tap14a-203,D,well
0,tap14a-203,=,yeah
0,tap14a-228,S,is
0,tap14a-228,=,good
0,tcu03a-178,=,or
0,thompson07c-263,S,we
0,thompson07c-263,S,go
0,tucson07a-112,=,okay
0,tucson12a-225,S,she
0,tucson12a-225,S,she
0,tucson12a-225,D,feels
0,UNH01a-77,S,sent
0,UNH01a-77,S,me
0,UNH01a-77,D,home
0,UNH01a-313,=,thats
0,UNH01a-313,S,what
0,UNH01a-313,S,it
0,UNH01a-313,D,is
0,whiteside17a-151,=,and
0,whiteside17a-151,D,he
0,whiteside17a-151,D,said
0,whiteside17a-307,S,and
0,whiteside17a-307,D,thats
0,whiteside17a-307,D,just
0,whiteside19a-43,S,and
0,whiteside19a-43,=,i
0,williamson05a-453,S,and
0,williamson05a-453,D,uh
0,williamson05a-453,D,said
0,williamson05a-453,D,uh
0,williamson09a-151,S,oh
0,williamson09a-151,D,man
0,williamson09a-237,S,look
0,williamson09a-237,S,at
0,williamson09a-237,S,me
0,williamson09b-404,S,was
0,williamson09b-404,S,that
0,williamson09b-404,S,right
0,williamson19a-62,S,okay
0,wozniak01a-113,S,that
0,wozniak01a-113,D,was
0,wozniak01a-113,=,it
0,wozniak06a-151,S,click
0,wright206a-83,S,mhm
0,wright206a-231,S,i
0,wright206a-231,S,love
0,wright206a-231,D,you
